80
3.6982739809204466E-4,	0.014793095923681785,	0.05,
7.946448435920304E-4,	0.008496348909999714,	0.05,
0.0017413504050750991,	0.018934111229661373,	0.05,
0.003392965871002215,	0.03303230931854232,	0.05,
0.005892269790646882,	0.04998607839289332,	0.05,
0.009222020989459442,	0.06659502397625122,	0.05,
0.013206762728124476,	0.07969483477330067,	0.05,
0.017612152710095842,	0.0881077996394273,	0.05,
0.022138678652716237,	0.09053051885240793,	0.05,
0.02641463799769835,	0.08551918689964225,	0.05,
0.029989386376814798,	0.07149496758232898,	0.05,
0.032328821113053456,	0.046788694724773115,	0.05,
0.032816710980056146,	0.009757797340053746,	0.05,
0.034865681726481836,	0.0409794149285138,	0.05,
0.04017082178744654,	0.10610280121929408,	0.05,
0.0494158725195246,	0.1849010146415612,	0.05,
0.06312877019487985,	0.274257953507105,	0.05,
0.08150170104723856,	0.36745861704717425,	0.05,
0.1041639858208793,	0.4532456954728147,	0.05,
0.129963858689946,	0.5159974573813344,	0.05,
0.15686533625168328,	0.5380295512347457,	0.05,
0.18207571396390887,	0.5042075542445118,	0.05,
0.20243633986175671,	0.40721251795695695,	0.05,
0.21495741300001314,	0.2504214627651283,	0.05,
0.21727963940065034,	0.04644452801274419,	0.05,
0.2266679181341425,	0.1877655746698429,	0.05,
0.24845791063813544,	0.4357998500798586,	0.05,
0.2827183055030512,	0.6852078972983157,	0.05,
0.32912721872326667,	0.9281782644043092,	0.05,
0.387174439259953,	1.1609444107337263,	0.05,
0.45630735863648597,	1.3826583875306602,	0.05,
0.5360253136722153,	1.5943591007145852,	0.05,
0.625937669115046,	1.7982471088566134,	0.05,
0.7258015518016834,	1.997277653732748,	0.05,
0.8355525205059783,	2.195019374085898,	0.05,
0.9549717451920402,	2.388384493721239,	0.05,
1.083634171807005,	2.5732485322992953,	0.05,
1.221271686618605,	2.752750296231999,	0.05,
1.367828721297594,	2.931140693579775,	0.05,
1.5232978634036658,	3.1093828421214362,	0.05,
1.6879352955703668,	3.292748643334018,	0.05,
1.8625203979577514,	3.4917020477476925,	0.05,
2.0481144497503427,	3.711881035851823,	0.05,
2.2458631252921997,	3.954973510837137,	0.05,
2.456838853834394,	4.219514570843886,	0.05,
2.6816802684111183,	4.496828291534483,	0.05,
2.9192658350384475,	4.75171133254658,	0.05,
3.1652610114131483,	4.919903527494019,	0.05,
3.412107691805304,	4.936933607843116,	0.05,
3.650963090052948,	4.777107964952884,	0.05,
3.874590372412901,	4.472545647199057,	0.05,
4.079095686112542,	4.09010627399282,	0.05,
4.263736094381809,	3.692808165385349,	0.05,
4.429720482374767,	3.3196877598591628,	0.05,
4.579065433307239,	2.986899018649439,	0.05,
4.713894532214811,	2.6965819781514346,	0.05,
4.836120177055245,	2.4445128968086847,	0.05,
4.947346835750325,	2.224533173901604,	0.05,
5.048875912003644,	2.0305815250663684,	0.05,
5.141747172241121,	1.857425204749545,	0.05,
5.226787155967357,	1.700799674524715,	0.05,
5.304653174767758,	1.5573203760080123,	0.05,
5.375869693984715,	1.4243303843391448,	0.05,
5.440857134410354,	1.29974880851278,	0.05,
5.49995421637609,	1.1819416393147126,	0.05,
5.553435135249307,	1.0696183774643337,	0.05,
5.601522732143452,	0.9617519378828957,	0.05,
5.644398595656848,	0.8575172702679287,	0.05,
5.682210832006375,	0.7562447269905399,	0.05,
5.715080046373027,	0.6573842873330354,	0.05,
5.7431039613303065,	0.5604782991456034,	0.05,
5.766360972057032,	0.465140214534506,	0.05,
5.7849128752087395,	0.37103806303415954,	0.05,
5.798806933033039,	0.2778811564859971,	0.05,
5.808299085590487,	0.189843051148943,	0.05,
5.814091328661439,	0.11584486141904803,	0.05,
5.817111767960757,	0.06040878598636293,	0.05,
5.8182815641143115,	0.023395923071097894,	0.05,
5.81851865347345,	0.004741787182766112,	0.05,
5.81851865347345,	0.0,	0.05,
