140
3.7046456709843053E-4,	0.01481858268393722,	0.05,
0.0018523228354921527,	0.029637165367874443,	0.05,
0.0051865039393780244,	0.06668362207771744,	0.05,
0.011113937012952897,	0.11854866147149745,	0.05,
0.020375551190413635,	0.18523228354921475,	0.05,
0.03334181103885868,	0.2593251969689008,	0.05,
0.05001271655828801,	0.33341811038858665,	0.05,
0.07038826774870185,	0.407511023808277,	0.05,
0.09446846461010082,	0.4816039372279793,	0.05,
0.12225330714248424,	0.5556968506476684,	0.05,
0.15374279534585217,	0.6297897640673583,	0.05,
0.18893692922020444,	0.7038826774870455,	0.05,
0.22783570876554127,	0.7779755909067365,	0.05,
0.2704391339818625,	0.8520685043264237,	0.05,
0.3167472048691682,	0.9261614177461142,	0.05,
0.36675992142745834,	1.000254331165803,	0.05,
0.4204772836567329,	1.0743472445854918,	0.05,
0.477899291556992,	1.1484401580051817,	0.05,
0.5390259451282293,	1.222533071424745,	0.05,
0.6038572443704348,	1.2966259848441086,	0.05,
0.6723931892836236,	1.3707188982637764,	0.05,
0.7446337798677954,	1.4448118116834374,	0.05,
0.8205790161229504,	1.5189047251030985,	0.05,
0.9002288980490885,	1.5929976385227618,	0.05,
0.9835834256462098,	1.6670905519424273,	0.05,
1.0706425989143344,	1.7411834653624902,	0.05,
1.1614064178534853,	1.8152763787830173,	0.05,
1.2558748824636217,	1.8893692922027272,	0.05,
1.3540479927447437,	1.9634622056224416,	0.05,
1.4559257486968515,	2.037555119042156,	0.05,
1.5615081503199453,	2.1116480324618747,	0.05,
1.6707951976140245,	2.1857409458815846,	0.05,
1.7837868905790895,	2.259833859301299,	0.05,
1.9004832292151403,	2.333926772721018,	0.05,
2.020884213522177,	2.408019686140732,	0.05,
2.144989843500114,	2.482112599558741,	0.05,
2.2728001191489446,	2.5562055129766126,	0.05,
2.4043150404687554,	2.630298426396216,	0.05,
2.5395346074595473,	2.704391339815837,	0.05,
2.67845882012132,	2.778484253235458,	0.05,
2.8210876784540733,	2.8525771666550614,	0.05,
2.967421182457807,	2.9266700800746737,	0.05,
3.1174593321325217,	3.0007629934942948,	0.05,
3.271202127478216,	3.074855906913889,	0.05,
3.428649568494892,	3.148948820333519,	0.05,
3.589801655182548,	3.2230417337531136,	0.05,
3.7546583875411845,	3.2971346471727347,	0.05,
3.923219765570802,	3.371227560592347,	0.05,
4.095485789271399,	3.4453204740119503,	0.05,
4.271456458642979,	3.519413387431598,	0.05,
4.451131773685538,	3.5935063008511747,	0.05,
4.634511734399077,	3.667599214270787,	0.05,
4.821596340783598,	3.741692127690417,	0.05,
5.012385592839098,	3.8157850411099936,	0.05,
5.206879490565581,	3.889877954529659,	0.05,
5.405078033963042,	3.963970867949218,	0.05,
5.606981223031484,	4.038063781368848,	0.05,
5.812589057770908,	4.112156694788478,	0.05,
6.021901538181312,	4.1862496082080725,	0.05,
6.234918664262696,	4.260342521627685,	0.05,
6.451640436015061,	4.334435435047297,	0.05,
6.672066853438406,	4.408528348466909,	0.05,
6.896197916532733,	4.482621261886539,	0.05,
7.12403362529804,	4.5567141753061335,	0.05,
7.355573979734327,	4.630807088725746,	0.05,
7.590448515274498,	4.697490710803418,	0.05,
7.827916302784354,	4.749355750197122,	0.05,
8.0672364131297,	4.786402206906928,	0.05,
8.307667917176342,	4.808630080932836,	0.05,
8.548178648145617,	4.810214619385498,	0.05,
8.787736439256616,	4.79115582221997,	0.05,
9.025600361374998,	4.7572784423676495,	0.05,
9.261029485366567,	4.708582479831378,	0.05,
9.493282882097112,	4.645067934610907,	0.05,
9.7219108600781,	4.572559559619762,	0.05,
9.946834192388087,	4.498466646199724,	0.05,
10.168052879027073,	4.424373732779721,	0.05,
10.385566919995057,	4.350280819359682,	0.05,
10.59937631529204,	4.276187905939679,	0.05,
10.809481064918021,	4.202094992519605,	0.05,
11.015881168873003,	4.1280020790996375,	0.05,
11.218576627156981,	4.053909165679563,	0.05,
11.417567439769957,	3.979816252259525,	0.05,
11.612853606711935,	3.9057233388395574,	0.05,
11.80443512798291,	3.8316304254194833,	0.05,
11.992312003582885,	3.757537511999516,	0.05,
12.176484233511859,	3.6834445985794773,	0.05,
12.356951817769831,	3.6093516851594387,	0.05,
12.533714756356803,	3.5352587717394357,	0.05,
12.706773049272773,	3.461165858319397,	0.05,
12.876126696517742,	3.387072944899394,	0.05,
13.041775698091708,	3.31298003147932,	0.05,
13.203720053994676,	3.2388871180593526,	0.05,
13.36195976422664,	3.1647942046392785,	0.05,
13.516494828787602,	3.09070129121924,	0.05,
13.667325247677566,	3.0166083777992725,	0.05,
13.814451020896529,	2.9425154643792695,	0.05,
13.957872148444489,	2.8684225509591954,	0.05,
14.097588630321447,	2.794329637539157,	0.05,
14.233600466527408,	2.720236724119225,	0.05,
14.365907657062364,	2.6461438106991153,	0.05,
14.494510201926321,	2.572050897279148,	0.05,
14.619408101119276,	2.4979579838591093,	0.05,
14.74060135464123,	2.4238650704390707,	0.05,
14.858089962492183,	2.3497721570190677,	0.05,
14.971873924672133,	2.2756792435989937,	0.05,
15.08195324118108,	2.201586330178955,	0.05,
15.18832791201903,	2.1274934167589876,	0.05,
15.290997937185978,	2.053400503338949,	0.05,
15.389963316681925,	1.979307589918946,	0.05,
15.48522405050687,	1.9052146764989075,	0.05,
15.576780138660814,	1.831121763078869,	0.05,
15.664631581143757,	1.757028849658866,	0.05,
15.748778377955698,	1.6829359362388274,	0.05,
15.829220529096641,	1.60884302281886,	0.05,
15.905958034566583,	1.5347501093988214,	0.05,
15.978990894365522,	1.4606571959787829,	0.05,
16.04831910849346,	1.3865642825587088,	0.05,
16.113942676950394,	1.3124713691387058,	0.05,
16.175861599736333,	1.2383784557187738,	0.05,
16.234075876851264,	1.1642855422986287,	0.05,
16.2885855082952,	1.0901926288786967,	0.05,
16.33939049406813,	1.0160997154586227,	0.05,
16.386490834170058,	0.9420068020385486,	0.05,
16.42988652860099,	0.8679138886186166,	0.05,
16.469577577360916,	0.7938209751985426,	0.05,
16.505563980449843,	0.7197280617785395,	0.05,
16.537845737867766,	0.6456351483584655,	0.05,
16.566422849614693,	0.5715422349385335,	0.05,
16.591295315690612,	0.4974493215183884,	0.05,
16.612463136095535,	0.4233564080984564,	0.05,
16.629926310829457,	0.3492634946784534,	0.05,
16.64368483989238,	0.2751705812584504,	0.05,
16.653738723284295,	0.20107766783830527,	0.05,
16.660379198650872,	0.13280950733154384,	0.05,
16.664267968204864,	0.07777539107983955,	0.05,
16.66614596108047,	0.03755985751212165,	0.05,
16.666754106411897,	0.012162906628532255,	0.05,
16.666833333333336,	0.0015845384287871411,	0.05,
16.666833333333336,	0.0,	0.05,
