370
0,	0,	10,
1.09289617486339E-05,	0.00218579234972678,	10,
4.91803278688525E-05,	0.00546448087431694,	10,
0.00012568306010929,	0.00983606557377049,	10,
0.000251366120218579,	0.0153005464480874,	10,
0.000437158469945355,	0.0218579234972678,	10,
0.000693989071038251,	0.0295081967213115,	10,
0.0010327868852459,	0.0382513661202186,	10,
0.00146448087431694,	0.0480874316939891,	10,
0.002,	0.059016393442623,	10,
0.00265027322404372,	0.0710382513661202,	10,
0.00342622950819672,	0.0841530054644809,	10,
0.00433879781420765,	0.0983606557377049,	10,
0.00539890710382514,	0.113661202185792,	10,
0.00661748633879781,	0.130054644808743,	10,
0.00800546448087432,	0.147540983606557,	10,
0.00957377049180328,	0.166120218579235,	10,
0.0113333333333333,	0.185792349726776,	10,
0.0132950819672131,	0.20655737704918,	10,
0.0154699453551913,	0.228415300546448,	10,
0.0178688524590164,	0.251366120218579,	10,
0.0205027322404372,	0.275409836065574,	10,
0.0233825136612022,	0.300546448087432,	10,
0.0265191256830601,	0.326775956284153,	10,
0.0299234972677596,	0.354098360655738,	10,
0.0336065573770492,	0.382513661202186,	10,
0.0375792349726776,	0.412021857923497,	10,
0.0418524590163934,	0.442622950819672,	10,
0.0464371584699454,	0.47431693989071,	10,
0.051344262295082,	0.507103825136612,	10,
0.0565846994535519,	0.540983606557377,	10,
0.0621693989071038,	0.575956284153006,	10,
0.0681092896174864,	0.612021857923497,	10,
0.0744153005464481,	0.649180327868853,	10,
0.0810983606557377,	0.687431693989071,	10,
0.0881693989071038,	0.726775956284153,	10,
0.0956393442622951,	0.767213114754098,	10,
0.10351912568306,	0.808743169398907,	10,
0.111819672131148,	0.851366120218579,	10,
0.120551912568306,	0.895081967213115,	10,
0.129726775956284,	0.939890710382514,	10,
0.139355191256831,	0.985792349726776,	10,
0.149448087431694,	1.0327868852459,	10,
0.160016393442623,	1.08087431693989,	10,
0.171071038251366,	1.13005464480874,	10,
0.182622950819672,	1.18032786885246,	10,
0.19468306010929,	1.23169398907104,	10,
0.207262295081967,	1.28415300546448,	10,
0.220371584699454,	1.33770491803279,	10,
0.234021857923497,	1.39234972677596,	10,
0.248224043715847,	1.44808743169399,	10,
0.262989071038251,	1.50491803278689,	10,
0.278327868852459,	1.56284153005465,	10,
0.294251366120219,	1.62185792349727,	10,
0.310770491803279,	1.68196721311475,	10,
0.327896174863388,	1.7431693989071,	10,
0.345639344262295,	1.80546448087432,	10,
0.364010928961749,	1.86885245901639,	10,
0.383021857923497,	1.93333333333333,	10,
0.40268306010929,	1.99890710382514,	10,
0.423005464480875,	2.0655737704918,	10,
0.443983606557377,	2.13005464480874,	10,
0.465601092896175,	2.19344262295082,	10,
0.487846994535519,	2.25573770491803,	10,
0.510710382513661,	2.31693989071038,	10,
0.534180327868853,	2.37704918032787,	10,
0.558245901639345,	2.43606557377049,	10,
0.582896174863388,	2.49398907103825,	10,
0.608120218579235,	2.55081967213115,	10,
0.633907103825137,	2.60655737704918,	10,
0.660245901639344,	2.66120218579235,	10,
0.68712568306011,	2.71475409836066,	10,
0.714535519125683,	2.7672131147541,	10,
0.742464480874317,	2.81857923497268,	10,
0.770901639344263,	2.86885245901639,	10,
0.799836065573771,	2.91803278688525,	10,
0.829256830601093,	2.96612021857924,	10,
0.859153005464481,	3.01311475409836,	10,
0.889513661202186,	3.05901639344262,	10,
0.920327868852459,	3.10382513661202,	10,
0.951584699453552,	3.14754098360656,	10,
0.983273224043716,	3.19016393442623,	10,
1.0153825136612,	3.23169398907104,	10,
1.04790163934426,	3.27213114754099,	10,
1.08081967213115,	3.31147540983607,	10,
1.11412568306011,	3.34972677595629,	10,
1.1478087431694,	3.38688524590164,	10,
1.18185792349727,	3.42295081967213,	10,
1.21626229508197,	3.45792349726776,	10,
1.25101092896175,	3.49180327868853,	10,
1.28609289617486,	3.52459016393443,	10,
1.32149726775956,	3.55628415300547,	10,
1.3572131147541,	3.58688524590164,	10,
1.39322950819672,	3.61639344262295,	10,
1.42953551912568,	3.6448087431694,	10,
1.46612021857924,	3.67213114754099,	10,
1.50297267759563,	3.69836065573771,	10,
1.54008196721312,	3.72349726775956,	10,
1.57743715846995,	3.74754098360656,	10,
1.61502732240437,	3.77049180327869,	10,
1.65284153005465,	3.79234972677596,	10,
1.69086885245902,	3.81311475409836,	10,
1.72909836065574,	3.8327868852459,	10,
1.76751912568306,	3.85136612021858,	10,
1.80612021857924,	3.86885245901639,	10,
1.84489071038251,	3.88524590163935,	10,
1.88381967213115,	3.90054644808743,	10,
1.92289617486339,	3.91475409836066,	10,
1.96210928961749,	3.92786885245902,	10,
2.00144808743169,	3.93989071038251,	10,
2.04090163934426,	3.95081967213115,	10,
2.08045901639344,	3.96065573770492,	10,
2.12010928961749,	3.96939890710383,	10,
2.15984153005465,	3.97704918032787,	10,
2.19964480874317,	3.98360655737705,	10,
2.23950819672131,	3.98907103825137,	10,
2.27942076502732,	3.99344262295082,	10,
2.31937158469945,	3.99672131147541,	10,
2.35934972677596,	3.99890710382514,	10,
2.39934426229508,	4,	10,
2.43934426229508,	4,	10,
2.47934426229508,	4,	10,
2.51934426229508,	4,	10,
2.55934426229508,	4,	10,
2.59934426229508,	4,	10,
2.63934426229508,	4,	10,
2.67934426229508,	4,	10,
2.71934426229508,	4,	10,
2.75934426229508,	4,	10,
2.79934426229508,	4,	10,
2.83934426229508,	4,	10,
2.87934426229508,	4,	10,
2.91934426229508,	4,	10,
2.95934426229508,	4,	10,
2.99934426229508,	4,	10,
3.03934426229508,	4,	10,
3.07934426229508,	4,	10,
3.11934426229508,	4,	10,
3.15934426229508,	4,	10,
3.19934426229508,	4,	10,
3.23934426229508,	4,	10,
3.27934426229508,	4,	10,
3.31934426229508,	4,	10,
3.35934426229508,	4,	10,
