62
5.518719377827497E-4,	0.022074877511309987,	0.44149755022619974,	0.05
0.0027593596889137462,	0.044149755022619926,	0.44149755022619874,	0.05
0.007726207128958482,	0.09933694880089469,	1.1037438755654954,	0.05
0.016556158133482456,	0.17659902009047948,	1.5452414257916958,	0.05
0.030352956578051277,	0.2759359688913764,	1.9867389760179381,	0.05
0.050220346338231074,	0.3973477952035959,	2.4282365262443903,	0.05
0.07726207128958693,	0.5408344990271169,	2.869734076470419,	0.05
0.11258187530768432,	0.7063960803619479,	3.31123162669662,	0.05
0.15728350226808885,	0.8940325392080908,	3.7527291769228577,	0.05
0.2124706960463661,	1.1037438755655449,	4.194226727149082,	0.05
0.278695328580279,	1.3244926506782577,	4.414975502254257,	0.05
0.3559573998698403,	1.5452414257912261,	4.414975502259368,	0.05
0.4442569099150539,	1.7659902009042716,	4.414975502260909,	0.05
0.5435938587159874,	1.9867389760186693,	4.414975502287954,	0.05
0.6539682462725801,	2.2074877511318536,	4.414975502263685,	0.05
0.7753800725848322,	2.4282365262450423,	4.414975502263774,	0.05
0.9078293376527141,	2.648985301357638,	4.414975502251917,	0.05
1.0513160414760856,	2.8697340764674273,	4.414975502195784,	0.05
1.205840184055101,	3.0904828515803073,	4.414975502257601,	0.05
1.3714017653897603,	3.3112316266931874,	4.414975502257601,	0.05
1.5480007854800637,	3.5319804018060674,	4.414975502257601,	0.05
1.735085372388229,	3.741691738163304,	4.194226727144734,	0.05
1.931551782238691,	3.929328197009241,	3.7527291769187343,	0.05
2.136296271155887,	4.094889778343913,	3.311231626693445,	0.05
2.348215095264251,	4.238376482167281,	2.8697340764673562,	0.05
2.566204510688219,	4.3597883084793665,	2.4282365262417116,	0.05
2.789160773552227,	4.4591252572801565,	1.9867389760158005,	0.05
3.01598013998071,	4.53638732856966,	1.545241425790067,	0.05
3.2455588660981047,	4.591574522347894,	1.103743875564689,	0.05
3.4767932080288455,	4.624686838614815,	0.6622463253384225,	0.05
3.708360449604746,	4.631344831518014,	0.13315985806396924,	0.05
3.938937874656209,	4.6115485010292545,	-0.3959266097751879,	0.05
4.167421739307274,	4.569677293021295,	-0.8374241601591947,	0.05
4.39270829968237,	4.505731207501924,	-1.278921710387415,	0.05
4.613693811905928,	4.419710244471151,	-1.7204192606154578,	0.05
4.829274532102377,	4.311614403928985,	-2.161916810843323,	0.05
5.038346716396147,	4.18144368587539,	-2.6034143610718985,	0.05
5.239806620911666,	4.029198090310384,	-3.044911911300119,	0.05
5.432550501773365,	3.854877617233985,	-3.486409461527984,	0.05
5.615474615105673,	3.658482266646157,	-3.9279070117565595,	0.05
5.787694189326541,	3.444391484417366,	-4.281815644575815,	0.05
5.948876324791702,	3.2236427093032205,	-4.414975502282914,	0.05
6.099021021501159,	3.002893934189128,	-4.414975502281848,	0.05
6.238128279454911,	2.7821451590750534,	-4.414975502281493,	0.05
6.366198098652958,	2.5613963839609255,	-4.414975502282559,	0.05
6.4832304790952975,	2.3406476088467976,	-4.414975502282559,	0.05
6.5892254207819345,	2.1198988337327407,	-4.414975502281138,	0.05
6.684182923712864,	1.899150058618595,	-4.414975502282914,	0.05
6.768102987888089,	1.6784012835045026,	-4.414975502281848,	0.05
6.84098561330761,	1.4576525083904102,	-4.414975502281848,	0.05
6.902830799971425,	1.2369037332763,	-4.4149755022822035,	0.05
6.953857520173056,	1.0205344040326203,	-4.327386584873594,	0.05
6.9948366181438075,	0.8195819594150322,	-4.019048892351762,	0.05
7.026871837759252,	0.6407043923088906,	-3.577551342122831,	0.05
7.05106692289496,	0.4839017027141601,	-3.1360537918946108,	0.05
7.068525617426501,	0.3491738906308228,	-2.6945562416667457,	0.05
7.080351665229444,	0.23652095605886103,	-2.253058691439236,	0.05
7.087648810179363,	0.1459428989983813,	-1.8115611412095944,	0.05
7.091520796151826,	0.07743971944925931,	-1.37006359098244,	0.05
7.093071367022404,	0.031011417411548337,	-0.9285660407542196,	0.05
7.093404266666668,	0.006657992885283903,	-0.48706849052528867,	0.05
7.093404266666668,	0.0,	-0.13315985770567806,	0.05
