90
3.741923350751432E-4,	0.014967693403005728,	0.05,
0.0018709616753757154,	0.029935386806011443,	0.05,
0.005238692691051996,	0.0673546203135256,	0.05,
0.011225770052254273,	0.11974154722404554,	0.05,
0.02058057842913283,	0.1870961675375711,	0.05,
0.03367731015676313,	0.26193463455260596,	0.05,
0.05051596523514526,	0.33677310156764256,	0.05,
0.07109654366427896,	0.41161156858267406,	0.05,
0.09541904544416427,	0.4864500355977061,	0.05,
0.12348347057480115,	0.5612885026127375,	0.05,
0.15528981905618963,	0.6361269696277696,	0.05,
0.19083809088832968,	0.7109654366428009,	0.05,
0.23012828607121433,	0.785803903657693,	0.05,
0.2731604046048427,	0.8606423706725674,	0.05,
0.31993444648922126,	0.9354808376875712,	0.05,
0.37045041172435017,	1.0103193047025782,	0.05,
0.42470830031023254,	1.0851577717176475,	0.05,
0.48270811224690224,	1.159996238733394,	0.05,
0.5444498475343247,	1.2348347057484488,	0.05,
0.6099335061725002,	1.3096731727635103,	0.05,
0.6791590881614286,	1.3845116397785673,	0.05,
0.7521265935011098,	1.4593501067936243,	0.05,
0.828836022191544,	1.5341885738086836,	0.05,
0.9092873742326351,	1.6090270408218221,	0.05,
0.9934806496244581,	1.6838655078364617,	0.05,
1.081415848367029,	1.7587039748514188,	0.05,
1.1730929704603472,	1.8335424418663626,	0.05,
1.2685120159044134,	1.9083809088813242,	0.05,
1.367672984699227,	1.9832193758962724,	0.05,
1.4705758768447885,	2.0580578429112295,	0.05,
1.5772206923410976,	2.132896309926182,	0.05,
1.6876074311881546,	2.2077347769411393,	0.05,
1.8017360933859592,	2.282573243956092,	0.05,
1.9196066789345116,	2.357411710971049,	0.05,
2.041219187833812,	2.432250177986006,	0.05,
2.1665736200838595,	2.50708864500095,	0.05,
2.2956699756846546,	2.5819271120159026,	0.05,
2.428508254636198,	2.656765579030864,	0.05,
2.5650884569384886,	2.731604046045817,	0.05,
2.705410582591527,	2.8064425130607695,	0.05,
2.8491004392602384,	2.873797133374225,	0.05,
2.995409642274473,	2.9261840602846956,	0.05,
3.1435898069640813,	2.963603293792163,	0.05,
3.2928925486589145,	2.986054833896663,	0.05,
3.4425372456733605,	2.992893940288921,	0.05,
3.5917432763212798,	2.9841206129583853,	0.05,
3.7397622559321424,	2.9603795922172527,	0.05,
3.8858457998357925,	2.9216708780730016,	0.05,
4.029245523362077,	2.8679944705256943,	0.05,
4.169245278856756,	2.799995109893594,	0.05,
4.305503111000667,	2.725156642878215,	0.05,
4.43801901979381,	2.6503181758628536,	0.05,
4.566793005236184,	2.5754797088474746,	0.05,
4.691825067327788,	2.5006412418320956,	0.05,
4.813115206068626,	2.425802774816752,	0.05,
4.9306634214586955,	2.350964307801391,	0.05,
5.044469713497994,	2.2761258407859764,	0.05,
5.154534082186526,	2.201287373770633,	0.05,
5.26085652752429,	2.1264489067552717,	0.05,
5.363437049511284,	2.0516104397398927,	0.05,
5.462275648147509,	1.976771972724496,	0.05,
5.557372323432968,	1.901933505709188,	0.05,
5.648727075367657,	1.8270950386937734,	0.05,
5.736339903951578,	1.7522565716784122,	0.05,
5.82021080918473,	1.677418104663051,	0.05,
5.900339791067116,	1.6025796376477075,	0.05,
5.976726849598729,	1.5277411706322752,	0.05,
6.049371984779578,	1.4529027036169673,	0.05,
6.118275196609655,	1.3780642366015528,	0.05,
6.183436485088967,	1.303225769586227,	0.05,
6.244855850217507,	1.2283873025708125,	0.05,
6.302533291995281,	1.153548835555469,	0.05,
6.356468810422285,	1.07871036854009,	0.05,
6.406662405498523,	1.0038719015247466,	0.05,
6.453114077223989,	0.9290334345093321,	0.05,
6.495823825598689,	0.8541949674939886,	0.05,
6.534791650622619,	0.7793565004786096,	0.05,
6.570017552295782,	0.7045180334632661,	0.05,
6.601501530618175,	0.6296795664478516,	0.05,
6.629243585589801,	0.5548410994325259,	0.05,
6.653243717210658,	0.48000263241712915,	0.05,
6.673501925480747,	0.4051641654017857,	0.05,
6.6900182104000665,	0.3303256983863889,	0.05,
6.702792571968618,	0.2554872313710277,	0.05,
6.711857247202316,	0.1812935046739561,	0.05,
6.717618665452148,	0.11522836499665345,	0.05,
6.720825211388272,	0.06413091872246923,	0.05,
6.722225269680838,	0.028001165851314624,	0.05,
6.722567225,	0.006839106383242921,	0.05,
6.722567225,	0.0,	0.05,
