100
3.725577680424854E-4,	0.014902310721699414,	0.05,
0.0018627888402124272,	0.029804621443398835,	0.05,
0.005215808752594787,	0.06706039824764719,	0.05,
0.011176733041274537,	0.11921848577359499,	0.05,
0.020490677242336646,	0.18627888402124218,	0.05,
0.03353019912382364,	0.26079043762973997,	0.05,
0.05029529868573616,	0.3353019912382503,	0.05,
0.07078597592807367,	0.4098135448467505,	0.05,
0.09500223085083623,	0.48432509845525107,	0.05,
0.12294406345402376,	0.5588366520637505,	0.05,
0.15461147373763628,	0.6333482056722506,	0.05,
0.19000446170167384,	0.7078597592807512,	0.05,
0.22912302734613643,	0.7823713128892518,	0.05,
0.27196717067102,	0.8568828664976713,	0.05,
0.3185368916763163,	0.9313944201059265,	0.05,
0.36883219036203646,	1.0059059737144027,	0.05,
0.42285306672818035,	1.0804175273228778,	0.05,
0.4805995207747478,	1.1549290809313495,	0.05,
0.5420715525017539,	1.229440634540121,	0.05,
0.6072691619092141,	1.3039521881492044,	0.05,
0.6761923489971006,	1.3784637417577295,	0.05,
0.7488411137654133,	1.4529752953662545,	0.05,
0.8252154562141524,	1.5274868489747817,	0.05,
0.9053153763433178,	1.601998402583309,	0.05,
0.9891408741529095,	1.676509956191834,	0.05,
1.0766919496428788,	1.7510215097993886,	0.05,
1.1679686028131964,	1.8255330634063505,	0.05,
1.2629708336639351,	1.9000446170147756,	0.05,
1.361698642195095,	1.9745561706231962,	0.05,
1.4641520284066762,	2.0490677242316258,	0.05,
1.570330992298678,	2.123579277840033,	0.05,
1.6802355338711015,	2.1980908314484715,	0.05,
1.7938656531239459,	2.2726023850568877,	0.05,
1.9112213500572113,	2.3471139386653084,	0.05,
2.0323026246708977,	2.4216254922737335,	0.05,
2.157109476965006,	2.496137045882163,	0.05,
2.2856419069395346,	2.570648599490575,	0.05,
2.4178999145944844,	2.6451601530989954,	0.05,
2.5538834999298556,	2.719671706707425,	0.05,
2.693592662945648,	2.7941832603158456,	0.05,
2.8370274036418612,	2.8686948139242663,	0.05,
2.9841877220184956,	2.943206367532687,	0.05,
3.135073618075551,	3.0177179211411076,	0.05,
3.289685091813028,	3.092229474749537,	0.05,
3.448022143230926,	3.1667410283579667,	0.05,
3.609712214561203,	3.233801426605538,	0.05,
3.774010190267775,	3.285959514131438,	0.05,
3.9401709548145574,	3.3232152909356483,	0.05,
4.107449392665465,	3.345568757018169,	0.05,
4.274991203586561,	3.350836218421911,	0.05,
4.441942087343029,	3.3390176751293588,	0.05,
4.60755692839845,	3.312296821108429,	0.05,
4.7710906112167395,	3.2706736563657834,	0.05,
4.9317980202618035,	3.2141481809012795,	0.05,
5.089043224696016,	3.144904088684246,	0.05,
5.242562851449786,	3.070392535075399,	0.05,
5.392356900523113,	2.995880981466552,	0.05,
5.5384253719159995,	2.921369427857723,	0.05,
5.680768265628443,	2.846857874248876,	0.05,
5.819385581660446,	2.7723463206400467,	0.05,
5.954277320012006,	2.6978347670311997,	0.05,
6.085443480683124,	2.6233232134223705,	0.05,
6.212884063673801,	2.5488116598135413,	0.05,
6.336599068984037,	2.474300106204712,	0.05,
6.45658849661383,	2.399788552595865,	0.05,
6.572852346563181,	2.325276998987018,	0.05,
6.685390618832091,	2.2507654453782067,	0.05,
6.794203313420559,	2.1762538917693597,	0.05,
6.899290430328586,	2.1017423381605305,	0.05,
7.00065196955617,	2.0272307845516835,	0.05,
7.098287931103313,	1.9527192309428543,	0.05,
7.192198314970013,	1.8782076773340073,	0.05,
7.282383121156271,	1.8036961237251603,	0.05,
7.368842349662089,	1.7291845701163666,	0.05,
7.451576000487464,	1.654673016507484,	0.05,
7.530584073632397,	1.5801614628986727,	0.05,
7.605866569096889,	1.5056499092898434,	0.05,
7.677423486880939,	1.4311383556809965,	0.05,
7.745254826984548,	1.3566268020721672,	0.05,
7.809360589407713,	1.2821152484633025,	0.05,
7.869740774150436,	1.2076036948544733,	0.05,
7.9263953812127195,	1.1330921412456618,	0.05,
7.97932441059456,	1.0585805876368148,	0.05,
8.028527862295961,	0.9840690340280212,	0.05,
8.074005736316918,	0.9095574804191386,	0.05,
8.115758032657434,	0.8350459268103094,	0.05,
8.153784751317506,	0.7605343732014447,	0.05,
8.18808589229714,	0.6860228195926865,	0.05,
8.21866145559633,	0.6115112659837862,	0.05,
8.245511441215076,	0.5369997123749215,	0.05,
8.268635849153382,	0.4624881587661278,	0.05,
8.288034679411247,	0.3879766051572986,	0.05,
8.303707931988669,	0.31346505154843385,	0.05,
8.31565560688565,	0.23895349793964016,	0.05,
8.323986888800647,	0.1666256382999265,	0.05,
8.329183520200157,	0.1039326279902042,	0.05,
8.331990616620272,	0.056141928402304586,	0.05,
8.33315329359708,	0.02325353953615661,	0.05,
8.333416666666666,	0.005267461391724737,	0.05,
8.333416666666666,	0.0,	0.05,
