108
3.733747047707755E-4,	0.014934988190831017,	0.05,
0.001634019232244826,	0.02521289054948101,	0.05,
0.004471140160737767,	0.05674241856985882,	0.05,
0.009517202358365904,	0.10092124395256273,	0.05,
0.017407540418555065,	0.15780676120378326,	0.05,
0.028466011388839405,	0.2211694194056868,	0.05,
0.042704564924187435,	0.2847710707069605,	0.05,
0.06013849534717751,	0.3486786084598015,	0.05,
0.08078638857778499,	0.41295786461214956,	0.05,
0.10467005555296514,	0.477673339503603,	0.05,
0.13181445248259552,	0.5428879385926076,	0.05,
0.16224758737967218,	0.6086626979415333,	0.05,
0.19600041262597923,	0.6750565049261409,	0.05,
0.23310670433905742,	0.7421258342615636,	0.05,
0.273602928940497,	0.8099244920287916,	0.05,
0.31752809829331785,	0.8785033870564174,	0.05,
0.3649236152801122,	0.9479103397358862,	0.05,
0.4158331122313778,	1.018189939025312,	0.05,
0.4703022849545204,	1.0893834544628516,	0.05,
0.5283787263735741,	1.1615288283810725,	0.05,
0.5901117634038765,	1.234660740606048,	0.05,
0.6555523019960927,	1.3088107718443245,	0.05,
0.7247526850093072,	1.384007660264291,	0.05,
0.7977665684495499,	1.4602776688048535,	0.05,
0.8746488210305872,	1.5376450516207467,	0.05,
0.9554554532757876,	1.6161326449040083,	0.05,
1.0402435808670356,	1.6957625518249577,	0.05,
1.129071428432682,	1.7765569513129282,	0.05,
1.2219983787905984,	1.858539007158327,	0.05,
1.3190850730823278,	1.9417338858345872,	0.05,
1.420393567012163,	2.0261698785967033,	0.05,
1.525987548371222,	2.111879627181179,	0.05,
1.6359326210541374,	2.198901453658307,	0.05,
1.7502966608722768,	2.2872807963627864,	0.05,
1.8691502486214282,	2.3770717549830267,	0.05,
1.9925671860248002,	2.4683387480674424,	0.05,
2.120625100426736,	2.56115828803871,	0.05,
2.2534061441401683,	2.6556208742686502,	0.05,
2.390997794182406,	2.7518330008447602,	0.05,
2.53349375746496,	2.8499192656510823,	0.05,
2.68099498495616,	2.950024549823991,	0.05,
2.833610795433325,	3.052316209543307,	0.05,
2.9914601043805624,	3.1569861789447464,	0.05,
3.1546727452403496,	3.2642528171957457,	0.05,
3.3233908572349047,	3.374362239891098,	0.05,
3.497770293787277,	3.487588731047449,	0.05,
3.6779819756756145,	3.604233637766744,	0.05,
3.8642130693503787,	3.724621873495283,	0.05,
4.0566678087143755,	3.84909478727993,	0.05,
4.255146457723547,	3.9695729801834343,	0.05,
4.459018150574135,	4.077433857011765,	0.05,
4.667620148054306,	4.1720399496034295,	0.05,
4.880248386904599,	4.252564777005861,	0.05,
5.096052478049634,	4.3160818229006965,	0.05,
5.31411330954876,	4.361216629982525,	0.05,
5.533528575699904,	4.388305323022879,	0.05,
5.753312157923184,	4.395671644465603,	0.05,
5.9723890600432155,	4.381538042400634,	0.05,
6.189696228425624,	4.3461433676481755,	0.05,
6.404570681099361,	4.29748905347473,	0.05,
6.616682006887893,	4.242226515770643,	0.05,
6.8256781533332145,	4.179922928906439,	0.05,
7.031196657183676,	4.110370077009224,	0.05,
7.232877076765048,	4.033608391627448,	0.05,
7.430373441248798,	3.949927289675003,	0.05,
7.62336553509229,	3.859841876869856,	0.05,
7.811568040074594,	3.764050099646064,	0.05,
7.994736902633135,	3.6633772511708194,	0.05,
8.172672710501725,	3.5587161573718142,	0.05,
8.345221233225486,	3.450970454475189,	0.05,
8.512271573477026,	3.3410068050308,	0.05,
8.673752526540662,	3.229619061272712,	0.05,
8.829627791010825,	3.117505289403272,	0.05,
8.979890614748605,	3.00525647475561,	0.05,
9.124558355114134,	2.8933548073105624,	0.05,
9.2636673017664,	2.7821789330453277,	0.05,
9.397267987700689,	2.672013718685763,	0.05,
9.525421105135402,	2.5630623486942694,	0.05,
9.648194064801716,	2.4554591933262904,	0.05,
9.76565818105556,	2.3492823250768815,	0.05,
9.877886429294922,	2.24456496478722,	0.05,
9.984951708889417,	2.141305591889916,	0.05,
10.086925530161917,	2.0394764254500064,	0.05,
10.183877057918327,	1.9390305551281835,	0.05,
10.275872438519988,	1.8399076120332318,	0.05,
10.36297435277923,	1.7420382851848377,	0.05,
10.445241744614583,	1.6453478367070646,	0.05,
10.52272968062757,	1.5497587202597574,	0.05,
10.595489310097696,	1.4551925894025082,	0.05,
10.66356789552593,	1.3615717085646684,	0.05,
10.727008891560553,	1.2688199206924844,	0.05,
10.785852058198616,	1.1768633327612692,	0.05,
10.840133592893146,	1.0856306938906106,	0.05,
10.889886274076895,	0.9950536236749965,	0.05,
10.935139607388406,	0.9050666662302029,	0.05,
10.975919967753685,	0.8156072073055842,	0.05,
11.012250736648094,	0.7266153778881901,	0.05,
11.044152430620143,	0.6380338794409931,	0.05,
11.071642817480837,	0.5498077372138909,	0.05,
11.094737020407507,	0.4618840585333771,	0.05,
11.113447608567622,	0.37421176320227956,	0.05,
11.127784674118125,	0.28674131101006445,	0.05,
11.137848442954972,	0.2012753767369609,	0.05,
11.144172368018424,	0.1264785012690308,	0.05,
11.147630569673565,	0.06916403310281528,	0.05,
11.149095443468555,	0.029297475899796824,	0.05,
11.149438522248653,	0.006861575601948967,	0.05,
11.149438522248653,	0.0,	0.05,
